Symbol,Name
^GSPC,S&P 500
^VIX,VIX
SPY,SPDR S&P 500 ETF Trust
GLD,SPDR Gold Shares
XLK,Technology Select Sector SPDR Fund
XLF,Financial Select Sector SPDR Fund
XLV,Health Care Select Sector SPDR Fund
XLE,Energy Select Sector SPDR Fund
DIA,SPDR Dow Jones Industrial Average ETF Trust
SDY,SPDR S&P Dividend ETF
MDY,SPDR S&P Midcap 400 ETF Trust
XLY,Consumer Discretionary Select Sector SPDR Fund
XLI,Industrial Select Sector SPDR Fund
XLP,Consumer Staples Select Sector SPDR Fund
XLU,Utilities Select Sector SPDR Fund
SPYV,SPDR Portfolio S&P 500 Value ETF
SPLG,SPDR Portfolio S&P 500 ETF
SPYG,SPDR Portfolio S&P 500 Growth ETF
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF
SPDW,SPDR Portfolio Developed World ex-US ETF
XLC,Communication Services Select Sector SPDR Fund
SRLN,SPDR Blackstone Senior Loan ETF
XLB,Materials Select Sector SPDR Fund
JNK,SPDR Bloomberg High Yield Bond ETF
SPSB,SPDR Portfolio Short Term Corporate Bond ETF
XBI,SPDR S&P Biotech ETF
SPAB,SPDR Portfolio Aggregate Bond ETF
